publish_date,ticker,AI Score *New,Sentiment Score *News,Health Score *New,Aggregated Score *New,average_market_percent_change,,Forward_30min_Change_Diff,Forward_45min_Change_Diff,Forward_60min_Change_Diff - Relative,Current day change - 1 hour,End of Day ,Next Day Close
12/11/2024 5:29,AAPL,Combination of Publisher Credibility and AI opinion,,,,0.015609828,,,,,Comes from clean combine,%,%
12/11/2024 6:10,AAPL,,Combination of all Sentiment,,,0.015609828,,,,,,"Used only for end of trading day with aggreagate AI, Sentiment, Healthe",
12/11/2024 6:54,AAPL,,,"Combination of  Rating Score, Analyst Score, percentage price change, and target score",,0.015609828,,,,,,,
12/11/2024 8:36,AAPL,,,,,0.015609828,,0.002708157,0.002428058,0.003596077,,,
12/11/2024 8:36,AAPL,,,,,0.015609828,,0.002708157,0.002428058,0.003596077,,,
12/11/2024 8:36,AAPL,,,,,0.015609828,,0.002708157,0.002428058,0.003596077,,,
12/11/2024 8:36,AAPL,,,,,0.015609828,,0.002708157,0.002428058,0.003596077,,,
12/11/2024 8:36,AAPL,,,,,0.015609828,,0.002708157,0.002428058,0.003596077,,,
12/11/2024 8:36,AAPL,,,,,0.015609828,,0.002708157,0.002428058,0.003596077,,,
12/11/2024 8:36,AAPL,,,,,0.015609828,,0.002708157,0.002428058,0.003596077,,,
12/11/2024 8:36,AAPL,,,,,0.015609828,,0.002708157,0.002428058,0.003596077,,,
12/11/2024 8:36,AAPL,,,,,0.015609828,,0.002708157,0.002428058,0.003596077,,,
12/11/2024 8:36,AAPL,,,,,0.015609828,,0.002708157,0.002428058,0.003596077,,,
12/11/2024 15:55,AAPL,,,,,0.015609828,,,,,,,
12/11/2024 15:59,AAPL,,,,,0.015609828,,,,,,,
12/11/2024 17:09,AAPL,,,,,0.015609828,,,,,,,
12/11/2024 17:32,AAPL,,,,,0.015609828,,,,,,,
12/11/2024 17:32,AAPL,,,,,0.015609828,,,,,,,
12/11/2024 18:26,AAPL,,,,,0.015609828,,,,,,,
12/11/2024 18:53,AAPL,,,,,0.015609828,,,,,,,
12/11/2024 22:23,AAPL,,,,,0.015609828,,,,,,,
12/12/2024 2:39,AAPL,,,,,-0.003756195,,,,,,,
12/12/2024 2:39,AAPL,,,,,-0.003756195,,,,,,,
12/12/2024 5:30,AAPL,,,,,-0.003756195,,,,,,,
12/12/2024 5:30,AAPL,,,,,-0.003756195,,,,,,,
12/12/2024 7:03,AAPL,,,,,-0.003756195,,0.007011998,0.002853614,0.005450069,,,
12/12/2024 7:03,AAPL,,,,,-0.003756195,,0.007011998,0.002853614,0.005450069,,,
12/12/2024 7:09,AAPL,,,,,-0.003756195,,0.002853614,0.005450069,0.007915077,,,
12/12/2024 7:09,AAPL,,,,,-0.003756195,,0.002853614,0.005450069,0.007915077,,,
12/12/2024 8:02,AAPL,,,,,-0.003756195,,0.00604487,0.005760883,0.006207148,,,
12/12/2024 8:02,AAPL,,,,,-0.003756195,,0.00604487,0.005760883,0.006207148,,,
12/12/2024 8:02,AAPL,,,,,-0.003756195,,0.00604487,0.005760883,0.006207148,,,
12/12/2024 8:02,AAPL,,,,,-0.003756195,,0.00604487,0.005760883,0.006207148,,,
12/12/2024 8:03,AAPL,,,,,-0.003756195,,0.00604487,0.005760883,0.006207148,,,
12/12/2024 8:03,AAPL,,,,,-0.003756195,,0.00604487,0.005760883,0.006207148,,,
12/12/2024 8:03,AAPL,,,,,-0.003756195,,0.00604487,0.005760883,0.006207148,,,
12/12/2024 8:03,AAPL,,,,,-0.003756195,,0.00604487,0.005760883,0.006207148,,,
12/12/2024 8:03,AAPL,,,,,-0.003756195,,0.00604487,0.005760883,0.006207148,,,
12/12/2024 8:03,AAPL,,,,,-0.003756195,,0.00604487,0.005760883,0.006207148,,,
12/12/2024 8:03,AAPL,,,,,-0.003756195,,0.00604487,0.005760883,0.006207148,,,
12/12/2024 8:03,AAPL,,,,,-0.003756195,,0.00604487,0.005760883,0.006207148,,,
12/12/2024 8:18,AAPL,,,,,-0.003756195,,0.003295874,0.00374214,0.002925474,,,
12/12/2024 8:18,AAPL,,,,,-0.003756195,,0.003295874,0.00374214,0.002925474,,,
