ticker,date,Avg_Aggregated_Score,Avg_Daily_Percent_Difference,Avg_Next_Daily_Percent_Difference,Avg_AI_Score,Avg_Sentiment_Score,Avg_Health_Score
AAPL,Software,39.974791746979555,-0.5858582828636035,-0.16386527830360378,5.9616080560144695,0.2973870485518666,113.6653801363724
ACHR,Transportation,43.64124426931344,0.35194277416825226,0.8027332718569584,9.555555555555554,0.24955711482636508,121.11862013755845
AMD,Semiconductor,52.69003931364528,-0.9513211907062997,-0.5956415004436315,1.5954495005549423,0.23539503678529014,156.23927340359552
AMZN,Software,42.757792527131144,-0.4323490911812015,0.08113532400965778,7.46078431372549,0.2804074720960497,120.53218579557182
ASTS,Space / Communication,50.96757964127919,0.5072954878201582,-1.2529942136523098,14.125000000000005,0.2881197184195221,138.48961920541808
AVGO,Semiconductor,42.193946438488595,-0.04872817840197803,-0.4414140918544526,10.333928571428569,0.2800615926856973,115.9678491513514
BWXT,Energy,42.20104041788453,-0.20769149860507355,-0.5419255083303265,12.777777777777779,0.25498825148703425,113.57035522438876
CHTR,Space / Communication,46.39987255080904,0.31313430103461737,-0.17874317602148004,19.276315789473685,0.3250152744968076,119.59828658845665
CRM,Software,55.37158225007359,-0.7229806726353706,-0.3585634228819319,9.092848557692308,0.29064317299415554,156.73125501953433
GLW,Semiconductor,34.57762016630861,0.8312078263688266,-0.49956974554373007,20.36842105263158,0.2943987697058877,83.07004067658835
GME,Entertainment,-2.738834761104706,0.6949720697897389,0.2062797980766272,13.450000000000001,0.2324383450325051,-21.898942628346628
GOOGL,AI,52.81870581967944,-0.2161701108261444,-0.10134898249586899,8.433440478829525,0.27707053180697644,149.74560644840173
GSAT,Space / Communication,75.86783384254497,1.0468733409068018,0.8194773341024699,17.509433962264147,0.21149105881969354,209.88257650655098
HAL,Energy,48.688212463195406,-0.8708662399025888,-0.5763935012087292,-1.107142857142858,0.1740208903393081,146.99775935638976
LMT,Unknown,43.52735392759593,-0.6986801998077197,-0.2279413198637813,5.298434442270058,0.2062589408605307,125.07736839965717
LX,Financial,18.502129647876508,0.7545391824454374,2.348399221199908,-6.125,0.37495386121796115,61.25643508241156
META,AI,41.658127627735226,0.3853770954156665,0.3950358074423563,0.032736687855206045,0.19702558892258265,124.74462060642777
MSFT,Software,50.44469856267117,-0.3368924453417891,-0.3360337423021541,7.049743203754532,0.27407804288461923,144.01027444137446
MU,Semiconductor,47.03391650438197,-4.400677618088883,-1.357767919176369,-10.10896226415094,0.15524868490622873,151.05546309239054
NFLX,Entertainment,41.846576910581575,1.0601616800167089,1.2782025818858012,12.197784810126578,0.22773515936689745,113.11421076225125
NOW,Software,42.13814928814449,-0.5537373961451585,-0.585990484219135,5.12308598351001,0.1616178466451016,121.12974403427836
NVDA,Semiconductor,55.47430335433169,-0.13382361952169333,0.24149411620355618,13.952178358766037,0.2571979551896984,152.21353374903921
OKLO,Energy,25.804812247250588,6.947734693789088,5.382226835308859,4.466666666666667,0.1655756009200268,72.78219447416507
PLTR,AI,29.611300349434213,2.314163270102692,3.2059408490921073,17.017825311942943,0.24596517015584976,71.57011056620385
PSIX,Energy,30.549914196052185,-8.722334002122475,4.186326385384874,-9.0,0.2826467821341142,100.36709580602245
PTON,Unknown,26.418921020585596,2.1231458112139925,-0.04030160803541982,4.391304347826087,0.19405490606552442,74.67140380786518
QFIN,Financial,47.20860399010232,1.952821693379434,4.1089771859414705,26.0,0.25335273310227385,115.37245923720471
QUBT,AI,18.236941854397205,-6.440999257117296,6.648812766966933,-1.6595744680851074,0.1736398190646108,56.19676021221212
RGTI,AI,20.55418072167635,7.51287222858865,4.679062257352415,9.81521739130435,0.20688268592934217,51.64044208779537
RTX,Energy,33.91437160299191,1.002058644436657,0.438622671482098,0.49726775956284125,0.30967764961003424,100.93616939980286
SMCI,Semiconductor,44.66534447018912,1.1943817014437759,1.5179591860144424,17.298603651987108,0.2986684834528012,116.39876127512751
SMR,Energy,23.933921175338927,-1.659263779369752,-2.253683711182984,9.094696969696969,0.25057928380636774,62.456487272513435
TDS,Space / Communication,49.893720918201154,-0.46764936795560547,0.020456101432102306,-2.7968750000000013,0.14780835572541737,152.330229398878
TSLA,Transportation,19.931339059714606,-1.3615737716961291,-1.0846260450432024,1.6990914058740538,0.24161601850668785,57.85330975476316
TWLO,Software,41.2896610919748,5.650356311590092,1.584079365527205,13.666666666666668,0.24677709030073472,109.95553951895694
ZG,Entertainment,32.7230012547479,0.326468425359664,0.23393963802315632,9.833333333333334,0.17425755607718704,88.16141287483315
