publish_date,ticker,article_sentiment,average_market_sentiment,average_market_percent_change,RatingScore_pct_change,analyst_score_pct_change,target_median_price_pct_change,target_score,Yesterday_Percent_Change,Next_Day_Percent_Change,article_sentiment_class,average_market_sentiment_class
2024-12-19,ACHR,0.198987037037037,0.19318427002285332,-0.027924483663668603,0.0,,,,-7.88,-7.88,Neutral,Neutral
2024-12-22,ACHR,0.43985833333333324,0.22485024314144292,,0.0,,,,-7.88,13.68,Bullish,Neutral
2024-12-24,ACHR,0.25424814814814817,0.24192029288152123,0.014819785561153,0.0,,,1.8518518518518448,13.68,-5.27,Neutral,Neutral
2024-12-30,ACHR,0.0,0.228986652282628,-0.0119543892514454,0.0,0.0,0.0,1.8518518518518448,-5.27,-3.27,Neutral,Neutral
2024-12-31,ACHR,0.4894863636363636,0.20664126526572696,-0.0101564092002462,0.0,0.0,0.0,8.695652173913052,-3.27,-1.29,Bullish,Neutral
2025-01-06,ACHR,0.008050000000000002,0.19519967055408788,0.0221002380160894,0.0,0.0,0.0,8.695652173913052,-1.29,-2.88,Neutral,Neutral
2025-01-07,ACHR,0.464825,0.19405426126522585,-0.0187327601801066,0.0,0.0,0.0,8.695652173913052,-2.88,-3.52,Bullish,Neutral
2025-01-13,ACHR,0.12193703703703707,0.1822520178591282,-0.0103390149376735,0.0,-6.669999999999999,9.09,44.58584621723424,-3.52,,Neutral,Neutral
2024-12-11,AMD,0.30589879239727724,,0.0189320473811481,,,,,1.27,0.44999999999999996,Neutral,Bearish
2024-12-12,AMD,0.22396381866490092,0.24994048657494605,-0.0018045275794626998,0.0,,,,0.44999999999999996,-3.3399999999999994,Neutral,Neutral
2024-12-13,AMD,0.23111345265845262,0.23223139006472132,0.0315663928399389,0.0,,,,-3.3399999999999994,-3.3399999999999994,Neutral,Neutral
2024-12-15,AMD,0.31292300925925925,0.22908463284650576,,0.0,,,,-3.3399999999999994,0.56,Neutral,Neutral
2024-12-16,AMD,0.18563530306913978,0.22783247980388263,0.0119634301644616,0.0,,,,0.56,0.44,Neutral,Neutral
2024-12-17,AMD,0.21425281177156177,0.20355994008951933,-0.0052532979039832,0.0,,,45.21123815519567,0.44,-3.11,Neutral,Neutral
2024-12-18,AMD,0.25281871843434345,0.17986257888642448,-0.015814118169871,0.0,0.0,0.0,45.57670772676372,-3.11,-2.69,Neutral,Neutral
2024-12-19,AMD,0.26268047027020747,0.19318427002285335,-0.0279244836636686,0.0,0.0,0.0,45.57670772676372,-2.69,1.04,Neutral,Neutral
2024-12-20,AMD,0.47005138888888887,0.1993963168050451,-0.0006742623106127,0.0,0.0,0.0,45.57670772676372,1.04,1.04,Bullish,Neutral
2024-12-22,AMD,0.172616653750913,0.22135236869060193,,0.0,0.0,0.0,45.576707726763715,1.04,3.142727272727273,Neutral,Neutral
2024-12-23,AMD,0.22480780667945172,0.24894639044724695,0.0185477476293828,0.0,0.0,0.0,45.57670772676372,3.142727272727273,-0.88,Neutral,Neutral
2024-12-24,AMD,0.19180016418020449,0.2440603883017684,0.014819785561153,0.0,0.07,0.0,44.42998472745854,-0.88,-0.9600000000000001,Neutral,Neutral
2024-12-25,AMD,0.29689153929061335,0.24148621448363589,0.0129761562552765,0.0,0.0,0.0,44.11275635442236,-0.9600000000000001,-0.5,Neutral,Neutral
2024-12-26,AMD,0.29830010245553173,0.27469236313293593,0.0065961535871062,0.0,0.0,0.0,44.93226573153424,-0.5,0.7,Neutral,Neutral
2024-12-27,AMD,0.11600344717011381,0.2759985286871322,-0.0124750321692228,0.0,0.0,0.0,45.530145530145525,0.7,0.7,Neutral,Neutral
2024-12-29,AMD,0.20907801106301105,0.2614513060738932,,0.0,0.0,0.0,45.530145530145525,0.7,-0.91,Neutral,Neutral
2024-12-30,AMD,0.30284098372615037,0.24764557831868905,-0.0119543892514454,0.0,0.0,0.0,45.530145530145525,-0.91,-1.8900000000000001,Neutral,Neutral
2024-12-31,AMD,0.20308867475117476,0.20664126526572696,-0.010156409200246198,0.0,0.0,0.0,49.707600801169015,-1.8900000000000001,-1.88,Neutral,Neutral
2025-01-01,AMD,0.35453974358974355,0.18264128433575655,-0.0095293281977012,0.0,0.0,0.0,50.67472472886829,-1.88,-1.4,Neutral,Neutral
2025-01-02,AMD,0.0694090909090909,0.21351521432739395,-0.0064892569624833,0.0,0.0,0.0,50.67472472886829,-1.4,-1.4,Neutral,Neutral
2025-01-05,AMD,0.18965339826839825,0.2305661710061703,,0.0,0.0,0.0,50.67472472886829,-1.4,0.42,Neutral,Neutral
2025-01-06,AMD,0.19995909090909086,0.2025483948663802,0.0221002380160894,0.0,0.0,0.0,50.67472472886829,0.42,-2.37,Neutral,Neutral
2025-01-07,AMD,0.2185654781850094,0.19405426126522585,-0.0187327601801066,0.0,0.0,-1.1,46.79550104668078,-2.37,-2.19,Neutral,Neutral
2025-01-08,AMD,0.15941995031483666,0.16747027661557534,-0.0180455688098005,0.0,0.0,0.0,40.07782101167315,-2.19,-2.14,Neutral,Neutral
2025-01-09,AMD,0.23734999999999998,0.19071427124319207,-0.0308004912370782,0.0,0.0,0.0,40.07782101167315,-2.14,-1.81,Neutral,Neutral
2025-01-10,AMD,0.25,0.19527306048874554,-0.0052953116608218,0.0,0.0,0.0,40.07782101167315,-1.81,-1.81,Neutral,Neutral
2025-01-12,AMD,0.23603313884183447,0.2129687669273238,,0.0,-2.95,0.0,40.07782101167315,-1.81,1.7600000000000002,Neutral,Neutral
2025-01-13,AMD,0.20203159045815294,0.22319171892532313,-0.0103390149376735,0.0,0.0,-2.78,48.8740112432911,1.7600000000000002,-1.5588333333333333,Neutral,Neutral
2025-01-14,AMD,0.2418607706314849,0.17053678110015075,0.0029832822112097995,0.0,0.14,-1.43,48.80887612772917,-1.5588333333333333,2.05,Neutral,Neutral
2025-01-15,AMD,0.2717572688334593,0.18675533507439285,0.0267015595290222,0.0,0.0,0.0,47.505052033889555,2.05,-1.52,Neutral,Neutral
2025-01-16,AMD,0.50425,0.2730486865693258,0.0055152033907319,0.0,0.0,0.0,43.70209930023325,-1.52,-1.52,Bullish,Neutral
2025-01-19,AMD,0.11070643130815541,0.29344957952955997,,0.0,-0.72,-1.45,43.70209930023325,-1.52,0.57,Neutral,Neutral
2025-01-20,AMD,0.17406023015873015,0.20902464708031734,0.0161447326564081,0.0,0.0,0.0,41.010505143106975,0.57,-0.09,Neutral,Neutral
2025-01-21,AMD,0.2072094001236858,0.18012387570653665,0.0092275252387577,0.0,0.0,0.0,39.76662857575273,-0.09,0.58,Neutral,Neutral
2025-01-22,AMD,0.23304907407407405,0.15274587153409266,0.029179122257965,0.0,0.0,0.0,38.08820565220178,0.58,,Neutral,Neutral
2024-12-13,AMZN,-0.2929045454545455,,0.0315663928399389,,,,,-0.44,-0.44,Bearish,Bearish
2024-12-15,AMZN,-0.21075,0.22908463284650576,,,,,,-0.44,1.17,Bearish,Neutral
2024-12-16,AMZN,0.30095,0.22783247980388266,0.0119634301644616,,,,,1.17,-0.53,Neutral,Neutral
2024-12-17,AMZN,0.2466208333333333,0.20355994008951933,-0.0052532979039832,0.0,,,2.3106725300277,-0.53,-4.44,Neutral,Neutral
2024-12-18,AMZN,0.3063517409962722,0.17986257888642448,-0.015814118169871,0.0,0.0,0.0,1.639246416351547,-4.44,-0.8,Neutral,Neutral
2024-12-19,AMZN,0.27446127305835094,0.19318427002285335,-0.0279244836636686,0.0,0.0,0.0,1.639246416351547,-0.8,2.33,Neutral,Neutral
2024-12-20,AMZN,0.4027450260177532,0.1993963168050451,-0.0006742623106127001,0.0,0.0,0.0,1.639246416351547,2.33,2.3300000000000005,Bullish,Neutral
2024-12-22,AMZN,0.09650929705215419,0.22135236869060193,,0.0,0.0,0.0,1.639246416351547,2.3300000000000005,0.01,Neutral,Neutral
2024-12-23,AMZN,0.37316776485088987,0.24894639044724695,0.0185477476293828,0.0,0.0,0.0,1.639246416351547,0.01,0.9400000000000001,Neutral,Neutral
2024-12-24,AMZN,0.3434581433389963,0.2440603883017684,0.014819785561153,0.0,-0.93,0.43,2.7175897266223985,0.9400000000000001,0.93,Neutral,Neutral
2024-12-25,AMZN,0.38689457275528705,0.24148621448363589,0.0129761562552765,0.0,0.0,0.0,3.0342719930146203,0.93,-0.39,Neutral,Neutral
2024-12-26,AMZN,0.3229422222222222,0.27469236313293593,0.0065961535871062,0.0,0.0,0.85,4.036837381204257,-0.39,-0.79,Neutral,Neutral
2024-12-27,AMZN,0.5378894473838918,0.2759985286871322,-0.0124750321692228,0.0,0.0,0.0,4.822726271746306,-0.79,-0.79,Bullish,Neutral
2024-12-29,AMZN,0.29423030303030306,0.26145130607389316,,0.0,0.0,0.0,4.822726271746306,-0.79,0.56,Neutral,Neutral
2024-12-30,AMZN,0.3241509392393321,0.24764557831868905,-0.0119543892514454,0.0,0.0,0.0,4.822726271746306,0.56,-1.6,Neutral,Neutral
2024-12-31,AMZN,0.3523,0.20664126526572696,-0.0101564092002462,0.0,0.0,0.0,7.682562664012302,-1.6,-1.61,Neutral,Neutral
2025-01-01,AMZN,0.27416458333333327,0.18264128433575655,-0.0095293281977012,0.0,0.0,0.0,7.682562664012302,-1.61,0.76,Neutral,Neutral
2025-01-03,AMZN,0.3453666666666666,0.2331388522833375,0.0192485591296205,0.0,0.0,0.0,7.682562664012302,0.76,0.42,Neutral,Neutral
2025-01-06,AMZN,0.31245,0.24569723850166886,0.0221002380160894,0.0,0.0,0.0,7.682562664012302,0.42,-2.5,Neutral,Neutral
2025-01-07,AMZN,0.0671875,0.19405426126522585,-0.0187327601801066,0.0,0.0,0.84,7.025698297835164,-2.5,-0.46,Neutral,Neutral
2025-01-08,AMZN,0.08895,0.16747027661557534,-0.0180455688098005,0.0,0.0,0.0,6.368833931658026,-0.46,0.17,Neutral,Neutral
2025-01-13,AMZN,0.2594916666666666,0.15966959635018707,-0.0103390149376735,0.0,0.0,0.0,10.000412501546876,0.17,-1.22,Neutral,Neutral
2025-01-14,AMZN,0.3764511363636363,0.17053678110015075,0.0029832822112098,0.0,-0.08,2.08,10.405110940718188,-1.22,0.23,Neutral,Neutral
2025-01-15,AMZN,0.4817286255411255,0.18675533507439285,0.0267015595290222,0.0,0.0,0.0,10.820750055367169,0.23,-1.74,Bullish,Neutral
