Date,Ticker,Close,Volume,High,Low,Open,Percent_Difference
2025-02-10,AAPL,227.64999389648438,33115600,230.58999633789062,227.1999969482422,229.57000732421875,
2025-02-11,AAPL,232.6199951171875,53718400,235.22999572753906,228.1300048828125,228.1999969482422,0.02183176522711902
2025-02-12,AAPL,236.8699951171875,45243300,236.9600067138672,230.67999267578125,231.1999969482422,0.01827014052622161
2025-02-10,GOOGL,186.47000122070312,23105600,188.1999969482422,185.86000061035156,187.35000610351562,
2025-02-11,GOOGL,185.32000732421875,21239500,186.94000244140625,184.27999877929688,185.02999877929688,-0.006167179111685956
2025-02-12,GOOGL,183.61000061035156,22072600,185.11000061035156,181.8300018310547,183.22000122070312,-0.009227318402138404
2025-02-10,MSFT,412.2200012207031,20817900,415.4599914550781,410.9200134277344,413.7099914550781,
2025-02-11,MSFT,411.44000244140625,18140600,412.489990234375,409.29998779296875,409.6400146484375,-0.0018921905220199702
2025-02-12,MSFT,409.0400085449219,19121700,410.75,404.3699951171875,407.2099914550781,-0.005833156431662625
2025-02-10,ASTS,31.139999389648438,33859200,32.970001220703125,27.395000457763672,27.395000457763672,
2025-02-11,ASTS,28.399999618530273,13410600,30.799999237060547,28.350000381469727,30.594999313354492,-0.0879897182024029
2025-02-12,ASTS,27.610000610351562,10916800,29.139999389648438,27.299999237060547,28.469999313354492,-0.02781686685880294
2025-02-10,PTON,8.569999694824219,23317500,9.1899995803833,8.489999771118164,8.550000190734863,
2025-02-11,PTON,8.739999771118164,12651500,8.949999809265137,8.579999923706055,8.649999618530273,0.01983664904872931
2025-02-12,PTON,9.180000305175781,13247700,9.319999694824219,8.539999961853027,8.579999923706055,0.0503433118512914
2025-02-10,GSAT,23.399999618530273,2173680,25.5,22.799999237060547,23.100000381469727,
2025-02-11,GSAT,24.329999923706055,1582900,26.989999771118164,23.299999237060547,26.989999771118164,0.03974360343319499
2025-02-12,GSAT,21.059999465942383,1627400,23.600000381469727,21.040000915527344,23.510000228881836,-0.13440199210923676
2025-02-10,PLTR,116.6500015258789,99938100,116.76000213623047,108.72000122070312,112.02999877929688,
2025-02-11,PLTR,112.62000274658203,94311700,118.66000366210938,112.0999984741211,116.5,-0.03454778162521341
2025-02-12,PLTR,117.38999938964844,75316900,117.58999633789062,110.0,110.29000091552734,0.04235479068314242
2025-02-10,SMR,27.459999084472656,13740400,28.219999313354492,25.042999267578125,25.639999389648438,
2025-02-11,SMR,25.860000610351562,8989400,28.0,25.3700008392334,27.440000534057617,-0.05826651593101538
2025-02-12,SMR,26.399999618530273,9229300,27.100000381469727,24.43000030517578,24.950000762939453,0.02088163168729986
2025-02-10,ACHR,10.199999809265137,41825300,10.3100004196167,8.979999542236328,9.149999618530273,
2025-02-11,ACHR,9.289999961853027,59043900,9.9399995803833,9.149999618530273,9.510000228881836,-0.08921567298320084
2025-02-12,ACHR,9.359999656677246,34867900,9.710000038146973,9.130000114440918,9.329999923706055,0.007534951034623716
2025-02-10,BWXT,114.06999969482422,636100,115.6500015258789,113.43000030517578,115.0,
2025-02-11,BWXT,111.88999938964844,591900,113.62000274658203,110.72000122070312,113.5,-0.019111074875147002
2025-02-12,BWXT,109.38999938964844,801500,111.66999816894531,108.01000213623047,110.0,-0.0223433730774628
2025-02-10,ARBK,0.46799999475479126,210800,0.48100000619888306,0.46299999952316284,0.46799999475479126,
2025-02-11,ARBK,0.4449999928474426,284100,0.4869999885559082,0.4449999928474426,0.47999998927116394,-0.04914530377163677
2025-02-12,ARBK,0.4729999899864197,245600,0.4740000069141388,0.43299999833106995,0.4399999976158142,0.06292134289668666
2025-02-10,AMD,110.4800033569336,34905400,111.4000015258789,108.1500015258789,108.44000244140625,
2025-02-11,AMD,111.0999984741211,35033800,113.06999969482422,108.94000244140625,108.9800033569336,0.00561183108570742
2025-02-12,AMD,111.72000122070312,25319700,111.83999633789062,109.05999755859375,109.5199966430664,0.00558058285416134
2025-02-10,NVDA,133.57000732421875,216989100,135.0,129.9600067138672,130.08999633789062,
2025-02-11,NVDA,132.8000030517578,178902400,134.47999572753906,131.02000427246094,132.5800018310547,-0.005764799208192611
2025-02-12,NVDA,131.13999938964844,160278600,132.24000549316406,129.0800018310547,130.02000427246094,-0.012500027288872884
2025-02-10,GME,27.1200008392334,9694700,27.270000457763672,25.299999237060547,25.5,
2025-02-11,GME,26.559999465942383,7042700,27.760000228881836,26.469999313354492,26.850000381469727,-0.02064901755020909
2025-02-12,GME,25.989999771118164,3999200,26.399999618530273,25.600000381469727,26.1200008392334,-0.02146083231496761
2025-02-10,MU,95.93000030517578,16217900,96.26000213623047,93.16999816894531,93.19000244140625,
2025-02-11,MU,94.08000183105469,12124000,95.83999633789062,93.55999755859375,94.25,-0.01928487926858976
2025-02-12,MU,91.68000030517578,22874700,92.63999938964844,87.3499984741211,89.5999984741211,-0.025510219804084806
2025-02-10,TSLA,350.7300109863281,77514900,362.70001220703125,350.510009765625,356.2099914550781,
2025-02-11,TSLA,328.5,118543400,349.3699951171875,325.1000061035156,345.79998779296875,-0.06338211812502888
2025-02-12,TSLA,336.510009765625,105382700,346.3999938964844,329.1199951171875,329.94000244140625,0.0243835913717656
2025-02-10,NFLX,1027.5999755859375,3296600,1032.8499755859375,1015.8800048828125,1023.0499877929688,
2025-02-11,NFLX,1008.0800170898438,3331800,1022.6900024414062,1002.9500122070312,1020.7899780273438,-0.01899567824041984
2025-02-12,NFLX,1027.31005859375,3389000,1027.739990234375,998.3499755859375,1005.489990234375,0.01907590784253429
