publish_date,ticker,publisher,article_sentiment,article_sentiment_class,daily_avg_ticker_sentiment,daily_ticker_sentiment_class,average_market_sentiment,average_market_sentiment_class,average_market_percent_change,RatingScore,RatingScore_Category,RatingScoreStatus,analyst_score,AnalystScoreStatus,PriceChangeStatus,target_score,ValuationStatus,Forward_15min_Change_Diff,Forward_30min_Change_Diff,Forward_45min_Change_Diff,Forward_60min_Change_Diff,Close,Daily_Percent_Difference,Next_Day_Percent_Change
2024-12-17,AAPL,Benzinga,0.31245,Neutral,0.2209891974626107,Neutral,0.2090827843693878,Neutral,-0.0030607590683507,3.0,Neutral,No Change,68.61702127659575,No Change,No Change,-0.8341435183807903,Slightly Undervalued,-0.0004696462715105,0.0009440726577437,0.0011038081580624,0.0008337316762268,253.47999572753903,0.9719576588042528,-2.142177989310781
2024-12-17,AAPL,ETF Daily News,0.4187,Bullish,0.2209891974626107,Neutral,0.2090827843693878,Neutral,-0.0030607590683507,3.0,Neutral,No Change,68.61702127659575,No Change,No Change,-0.8341435183807903,Slightly Undervalued,-0.0004696462715105,0.0009440726577437,0.0011038081580624,0.0008337316762268,253.47999572753903,0.9719576588042528,-2.142177989310781
2024-12-17,AAPL,ETF Daily News,0.48915,Bullish,0.2209891974626107,Neutral,0.2090827843693878,Neutral,-0.0030607590683507,3.0,Neutral,No Change,68.61702127659575,No Change,No Change,-0.8341435183807903,Slightly Undervalued,-0.0004696462715105,0.0009440726577437,0.0011038081580624,0.0008337316762268,253.47999572753903,0.9719576588042528,-2.142177989310781
2024-12-17,AAPL,ETF Daily News,0.436,Bullish,0.2209891974626107,Neutral,0.2090827843693878,Neutral,-0.0030607590683507,3.0,Neutral,No Change,68.61702127659575,No Change,No Change,-0.8341435183807903,Slightly Undervalued,-0.0004696462715105,0.0009440726577437,0.0011038081580624,0.0008337316762268,253.47999572753903,0.9719576588042528,-2.142177989310781
2024-12-17,AAPL,ETF Daily News,0.3495357142857142,Neutral,0.2209891974626107,Neutral,0.2090827843693878,Neutral,-0.0030607590683507,3.0,Neutral,No Change,68.61702127659575,No Change,No Change,-0.8341435183807903,Slightly Undervalued,-0.0004696462715105,0.0009440726577437,0.0011038081580624,0.0008337316762268,253.47999572753903,0.9719576588042528,-2.142177989310781
2024-12-17,AAPL,Investor's Business Daily,0.0559666666666666,Neutral,0.2209891974626107,Neutral,0.2090827843693878,Neutral,-0.0030607590683507,3.0,Neutral,No Change,68.61702127659575,No Change,No Change,-0.8341435183807903,Slightly Undervalued,-0.0004696462715105,0.0009440726577437,0.0011038081580624,0.0008337316762268,253.47999572753903,0.9719576588042528,-2.142177989310781
2024-12-17,AAPL,GuruFocus.com,0.4042916666666666,Bullish,0.2209891974626107,Neutral,0.2090827843693878,Neutral,-0.0030607590683507,3.0,Neutral,No Change,68.61702127659575,No Change,No Change,-0.9272810205599672,Slightly Undervalued,0.0001597355003186,-0.0001103409815169,0.002788798597833,0.0007771669853409,253.47999572753903,0.9719576588042528,-2.142177989310781
2024-12-17,AAPL,ETF Daily News,0.55,Bullish,0.2209891974626107,Neutral,0.2090827843693878,Neutral,-0.0030607590683507,3.0,Neutral,No Change,68.61702127659575,No Change,No Change,-0.9430224264997208,Slightly Undervalued,-0.0002700764818356,0.0026290630975143,0.0006174314850223,0.0018323773103887,253.47999572753903,0.9719576588042528,-2.142177989310781
2024-12-17,AAPL,ETF Daily News,0.5375,Bullish,0.2209891974626107,Neutral,0.2090827843693878,Neutral,-0.0030607590683507,3.0,Neutral,No Change,68.61702127659575,No Change,No Change,-0.9430224264997208,Slightly Undervalued,-0.0002700764818356,0.0026290630975143,0.0006174314850223,0.0018323773103887,253.47999572753903,0.9719576588042528,-2.142177989310781
2024-12-17,AAPL,ETF Daily News,0.4679999999999999,Bullish,0.2209891974626107,Neutral,0.2090827843693878,Neutral,-0.0030607590683507,3.0,Neutral,No Change,68.61702127659575,No Change,No Change,-0.9430224264997208,Slightly Undervalued,-0.0002700764818356,0.0026290630975143,0.0006174314850223,0.0018323773103887,253.47999572753903,0.9719576588042528,-2.142177989310781
2024-12-17,AAPL,ETF Daily News,0.4191833333333333,Bullish,0.2209891974626107,Neutral,0.2090827843693878,Neutral,-0.0030607590683507,3.0,Neutral,No Change,68.61702127659575,No Change,No Change,-0.9430224264997208,Slightly Undervalued,-0.0002700764818356,0.0026290630975143,0.0006174314850223,0.0018323773103887,253.47999572753903,0.9719576588042528,-2.142177989310781
2024-12-17,AAPL,ETF Daily News,0.4625454545454545,Bullish,0.2209891974626107,Neutral,0.2090827843693878,Neutral,-0.0030607590683507,3.0,Neutral,No Change,68.61702127659575,No Change,No Change,-0.9430224264997208,Slightly Undervalued,-0.0002700764818356,0.0026290630975143,0.0006174314850223,0.0018323773103887,253.47999572753903,0.9719576588042528,-2.142177989310781
2024-12-17,AAPL,ETF Daily News,0.5408499999999999,Bullish,0.2209891974626107,Neutral,0.2090827843693878,Neutral,-0.0030607590683507,3.0,Neutral,No Change,68.61702127659575,No Change,No Change,-0.9430224264997208,Slightly Undervalued,-0.0002700764818356,0.0026290630975143,0.0006174314850223,0.0018323773103887,253.47999572753903,0.9719576588042528,-2.142177989310781
2024-12-17,AAPL,Investor's Business Daily,0.0559666666666666,Neutral,0.2209891974626107,Neutral,0.2090827843693878,Neutral,-0.0030607590683507,3.0,Neutral,No Change,68.61702127659575,No Change,No Change,-0.9164043593611368,Slightly Undervalued,0.0028991395793499,0.0008875079668579,0.0021024537922243,0.0030325844486934,253.47999572753903,0.9719576588042528,-2.142177989310781
