publish_date,ticker,article_sentiment,average_market_sentiment,average_market_percent_change,RatingScore_pct_change,analyst_score_pct_change,target_median_price_pct_change,target_score,Day_Percent_Change,article_sentiment_class,average_market_sentiment_class
2024-12-10,BWXT,0.35015,0.4119894867037724,,,,,,-0.09,Neutral,Bullish
2024-12-10,CRM,0.4935684601113173,0.4119894867037724,,,,,,-0.72,Bullish,Bullish
2024-12-10,TDS,0.39225,0.4119894867037724,,,,,,-0.39,Neutral,Bullish
2024-12-11,AAPL,0.34944439033189034,0.268791570301706,0.0189320473811481,,,,,-0.59,Neutral,Neutral
2024-12-11,ACHR,0.21075,0.268791570301706,0.0189320473811481,,,,,-2.76,Neutral,Neutral
2024-12-11,AMD,0.30589879239727724,0.268791570301706,0.0189320473811481,,,,,1.27,Neutral,Neutral
2024-12-11,AVGO,0.32047619047619047,0.268791570301706,0.0189320473811481,,,,,1.7700000000000002,Neutral,Neutral
2024-12-11,BTC,0.04601500000000001,0.268791570301706,0.0189320473811481,,,,,,Neutral,Neutral
2024-12-11,BWXT,0.46585,0.268791570301706,0.0189320473811481,,,,,-1.21,Bullish,Neutral
2024-12-11,CHTR,0.46725,0.268791570301706,0.0189320473811481,,,,,0.13,Bullish,Neutral
2024-12-11,CRM,0.21796293944151085,0.268791570301706,0.0189320473811481,,,,,0.38,Neutral,Neutral
2024-12-11,GLW,0.6619111111111111,0.268791570301706,0.0189320473811481,,,,,-2.16,Bullish,Neutral
2024-12-11,GME,0.2392837752525252,0.268791570301706,0.0189320473811481,,,,,4.4,Neutral,Neutral
2024-12-11,GOOGL,0.4192396103896104,0.268791570301706,0.0189320473811481,,,,,5.42,Bullish,Neutral
2024-12-11,GSAT,0.45585,0.268791570301706,0.0189320473811481,,,,,-7.11,Bullish,Neutral
2024-12-11,HAL,0.16584188631102695,0.268791570301706,0.0189320473811481,,,,,-0.17,Neutral,Neutral
2024-12-11,LMT,0.17088120748299315,0.268791570301706,0.0189320473811481,,,,,-1.86,Neutral,Neutral
2024-12-11,MSFT,0.3792307823129252,0.268791570301706,0.0189320473811481,,,,,1.11,Neutral,Neutral
2024-12-11,MU,0.178727183600713,0.268791570301706,0.0189320473811481,,,,,2.57,Neutral,Neutral
2024-12-11,NFLX,0.024871428571428544,0.268791570301706,0.0189320473811481,,,,,1.28,Neutral,Neutral
2024-12-11,NOW,0.30659821428571427,0.268791570301706,0.0189320473811481,,,,,0.98,Neutral,Neutral
2024-12-11,NVDA,0.37046247165532875,0.268791570301706,0.0189320473811481,,,,,1.39,Neutral,Neutral
2024-12-11,PLTR,0.24062176527176524,0.268791570301706,0.0189320473811481,,,,,-0.64,Neutral,Neutral
