publish_date,ticker,publisher,article_sentiment,average_ticker sentiment,article_sentiment_class,average_market_sentiment,average_market_sentiment_class,average_market_percent_change,AI Score,Daily Average AI Score,RatingScore_pct_change,Rating Score,RatingScore_Category,RatingScoreStatus,analyst_score_pct_change,Analyst Score,AnalystScore_Category,AnalystScoreStatus,PriceChangeStatus,target_score,ValuationStatus,Forward_30min_Change_Diff,Forward_45min_Change_Diff,Forward_60min_Change_Diff,End of Day ,Next Day Close
12/11/2024 5:29,AAPL,Yahoo Entertainment,-0.1970625,,Neutral,0.2847566516628007,Neutral,0.015609828,New,,Hide,1 -100,Neutral,Down Grade,Hide,1-100,,Down Grade,Decrease,Change Name,,,,,%,%
12/11/2024 6:10,AAPL,ETF Daily News,0.4648333333333333,,Bullish,0.2847566516628007,Neutral,0.015609828,1-100,,,,Neutral,Down Grade,,,,Down Grade,Decrease,,,,,,,
12/11/2024 6:54,AAPL,ETF Daily News,0.3493,,Neutral,0.2847566516628007,Neutral,0.015609828,,,,,Neutral,Down Grade,,,,Down Grade,Decrease,,,,,,,
12/11/2024 8:36,AAPL,ETF Daily News,0.5370666666666667,,Bullish,0.2847566516628007,Neutral,0.015609828,,,,,Neutral,Down Grade,,,,Down Grade,Decrease,,,0.002708157,0.002428058,0.003596077,,
12/11/2024 8:36,AAPL,ETF Daily News,0.45585,,Bullish,0.2847566516628007,Neutral,0.015609828,,,,,Neutral,Down Grade,,,,Down Grade,Decrease,,,0.002708157,0.002428058,0.003596077,,
12/11/2024 8:36,AAPL,ETF Daily News,0.518,,Bullish,0.2847566516628007,Neutral,0.015609828,,,,,Neutral,Down Grade,,,,Down Grade,Decrease,,,0.002708157,0.002428058,0.003596077,,
12/11/2024 8:36,AAPL,ETF Daily News,0.4525166666666667,,Bullish,0.2847566516628007,Neutral,0.015609828,,,,,Neutral,Down Grade,,,,Down Grade,Decrease,,,0.002708157,0.002428058,0.003596077,,
12/11/2024 8:36,AAPL,ETF Daily News,0.46915,,Bullish,0.2847566516628007,Neutral,0.015609828,,,,,Neutral,Down Grade,,,,Down Grade,Decrease,,,0.002708157,0.002428058,0.003596077,,
12/11/2024 8:36,AAPL,ETF Daily News,0.5511,,Bullish,0.2847566516628007,Neutral,0.015609828,,,,,Neutral,Down Grade,,,,Down Grade,Decrease,,,0.002708157,0.002428058,0.003596077,,
12/11/2024 8:36,AAPL,ETF Daily News,0.48915,,Bullish,0.2847566516628007,Neutral,0.015609828,,,,,Neutral,Down Grade,,,,Down Grade,Decrease,,,0.002708157,0.002428058,0.003596077,,
12/11/2024 8:36,AAPL,ETF Daily News,0.4679999999999999,,Bullish,0.2847566516628007,Neutral,0.015609828,,,,,Neutral,Down Grade,,,,Down Grade,Decrease,,,0.002708157,0.002428058,0.003596077,,
12/11/2024 8:36,AAPL,ETF Daily News,0.518,,Bullish,0.2847566516628007,Neutral,0.015609828,,,,,Neutral,Down Grade,,,,Down Grade,Decrease,,,0.002708157,0.002428058,0.003596077,,
12/11/2024 8:36,AAPL,ETF Daily News,0.4676666666666667,,Bullish,0.2847566516628007,Neutral,0.015609828,,,,,Neutral,Down Grade,,,,Down Grade,Decrease,,,0.002708157,0.002428058,0.003596077,,
12/11/2024 15:55,AAPL,Yahoo Entertainment,0.1844833333333333,,Neutral,0.2847566516628007,Neutral,0.015609828,,,,,Neutral,Down Grade,,,,Down Grade,Decrease,,,,,,,
12/11/2024 15:59,AAPL,Yahoo Entertainment,0.253975,,Neutral,0.2847566516628007,Neutral,0.015609828,,,,,Neutral,Down Grade,,,,Down Grade,Decrease,,,,,,,
12/11/2024 17:09,AAPL,Biztoc.com,0.20015,,Neutral,0.2847566516628007,Neutral,0.015609828,,,,,Neutral,Down Grade,,,,Down Grade,Decrease,,,,,,,
12/11/2024 17:32,AAPL,Yahoo Entertainment,0.2294,,Neutral,0.2847566516628007,Neutral,0.015609828,,,,,Neutral,Down Grade,,,,Down Grade,Decrease,,,,,,,
12/11/2024 17:32,AAPL,Biztoc.com,0.3505833333333333,,Neutral,0.2847566516628007,Neutral,0.015609828,,,,,Neutral,Down Grade,,,,Down Grade,Decrease,,,,,,,
12/11/2024 18:26,AAPL,Biztoc.com,0.4937666666666666,,Bullish,0.2847566516628007,Neutral,0.015609828,,,,,Neutral,Down Grade,,,,Down Grade,Decrease,,,,,,,
12/11/2024 18:53,AAPL,Yahoo Entertainment,0.1325375,,Neutral,0.2847566516628007,Neutral,0.015609828,,,,,Neutral,Down Grade,,,,Down Grade,Decrease,,,,,,,
12/11/2024 22:23,AAPL,Decrypt,0.235040909,,Neutral,0.2847566516628007,Neutral,0.015609828,,,,,Neutral,Down Grade,,,,Down Grade,Decrease,,,,,,,
12/12/2024 2:39,AAPL,Yahoo Entertainment,0,,Neutral,0.2444040731202172,Neutral,-0.003756195,,,0,,Neutral,No Change,,,,Down Grade,Decrease,,,,,,,
12/12/2024 2:39,AAPL,Yahoo Entertainment,0,,Neutral,0.2444040731202172,Neutral,-0.003756195,,,0,,Neutral,No Change,,,,Down Grade,Decrease,,,,,,,
12/12/2024 5:30,AAPL,Motley Fool,0.6271111111111112,,Bullish,0.2444040731202172,Neutral,-0.003756195,,,0,,Neutral,No Change,,,,Down Grade,Decrease,,,,,,,
12/12/2024 5:30,AAPL,Motley Fool,0.6271111111111112,,Bullish,0.2444040731202172,Neutral,-0.003756195,,,0,,Neutral,No Change,,,,Down Grade,Decrease,,,,,,,
12/12/2024 7:03,AAPL,ETF Daily News,0.3553,,Neutral,0.2444040731202172,Neutral,-0.003756195,,,0,,Neutral,No Change,,,,Down Grade,Decrease,,,0.007011998,0.002853614,0.005450069,,
