publish_date,ticker,article_sentiment,average_market_sentiment,average_market_percent_change,RatingScore_pct_change,analyst_score_pct_change,target_median_price_pct_change,target_score,Yesterday_Percent_Change,Next_Day_Percent_Change,article_sentiment_class,average_market_sentiment_class
2024-12-31,AMD,0.17899808324602842,0.2081253621240901,-0.0094939193595053,0.0,0.0,0.0,49.715269898357036,-1.89,-1.88,Neutral,Neutral
2025-01-01,AMD,0.27596894735166794,0.2125707942732549,-0.0105860502682846,0.0,0.0,0.0,50.67472472886829,-1.88,-1.4,Neutral,Neutral
2025-01-02,AMD,0.16893157379850085,0.2144802195963087,-0.0024224904331026,0.0,0.0,0.0,50.67472472886829,-1.4,3.1300000000000003,Neutral,Neutral
2025-01-03,AMD,0.1192350168350168,0.16606643430696685,0.0192485591296205,0.0,0.0,0.0,50.67472472886829,3.1300000000000003,3.13,Neutral,Neutral
2025-01-06,AMD,0.19995909090909086,0.2025483948663802,0.0221002380160894,0.0,0.0,0.0,50.67472472886829,0.42,-2.37,Neutral,Neutral
2025-01-07,AMD,0.21735969165416838,0.20050733494390188,-0.0183785387937415,0.0,0.0,-1.1,45.91022538315265,-2.37,-2.19,Neutral,Neutral
2025-01-08,AMD,0.1914157044667219,0.1841321140836098,-0.023505919673058703,0.0,0.0,0.0,40.07782101167315,-2.19,-2.14,Neutral,Neutral
2025-01-09,AMD,0.23804362886166863,0.18397932140846315,-0.012820899310218401,0.0,0.0,0.0,40.07782101167315,-2.14,-1.81,Neutral,Neutral
2025-01-10,AMD,0.20936259740259736,0.15267021131428216,-0.0052953116608218,0.0,0.0,0.0,40.07782101167315,-1.81,-1.81,Neutral,Neutral
2025-01-13,AMD,0.20203159045815294,0.22319171892532313,-0.0103390149376735,0.0,0.0,-2.78,48.8740112432911,1.7600000000000002,-1.5763095238095237,Neutral,Neutral
2025-01-14,AMD,0.2202195078825181,0.1752274273316473,0.0055300476518219,0.0,0.14,-1.43,48.76577475599162,-1.5763095238095237,2.05,Neutral,Neutral
2025-01-15,AMD,0.16795106449987401,0.18224788776453,0.0254384463236053,0.0,0.0,0.0,44.85642047916899,2.05,-1.52,Neutral,Neutral
2025-01-16,AMD,0.2364160698303103,0.18710622464131316,-0.0016432191116748998,0.0,0.0,0.0,43.79793264421474,-1.52,0.57,Neutral,Neutral
2025-01-17,AMD,0.12069837261503924,0.1453042249492506,0.0072483924871516,0.0,-0.7199999999999999,-1.45,43.79793264421474,0.57,0.57,Neutral,Neutral
2025-01-20,AMD,0.17514675801138063,0.22293296736858914,0.0162671252328616,0.0,0.0,0.0,40.976570683341436,0.57,-0.09,Neutral,Neutral
2025-01-21,AMD,0.17418020515080748,0.20520699870966036,0.0069182672343297,0.0,0.0,0.0,39.02639077063789,-0.09,0.58,Neutral,Neutral
2025-01-22,AMD,0.17350817379443234,0.20604826087762684,0.0165398473800671,0.0,0.0,0.0,37.62773594958784,0.58,1.33,Neutral,Neutral
2024-12-18,AMZN,0.3063517409962722,0.18069553738933675,-0.0104674614631679,0.0,0.0,0.0,1.639246416351547,-4.44,-0.8,Neutral,Neutral
2024-12-19,AMZN,0.27446127305835094,0.17910503390628735,-0.020774095839492,0.0,0.0,0.0,1.639246416351547,-0.8,2.33,Neutral,Neutral
2024-12-20,AMZN,0.4027450260177532,0.18146798406231085,-0.0006742623106127001,0.0,0.0,0.0,1.639246416351547,2.33,2.3300000000000005,Bullish,Neutral
2024-12-23,AMZN,0.37316776485088987,0.25070001550979415,0.0177050105272122,0.0,0.0,0.0,1.639246416351547,0.01,0.9400000000000001,Neutral,Neutral
2024-12-24,AMZN,0.3434581433389963,0.24584206124075544,0.014819785561153,0.0,-0.93,0.43,2.7175897266223985,0.9400000000000001,0.93,Neutral,Neutral
2024-12-25,AMZN,0.38689457275528705,0.24637037400611445,0.0149910739731517,0.0,0.0,0.0,3.0342719930146203,0.93,-0.39,Neutral,Neutral
2024-12-26,AMZN,0.3229422222222222,0.25415174977056776,0.0041751651685085,0.0,0.0,0.85,4.036837381204257,-0.39,-0.79,Neutral,Neutral
2024-12-27,AMZN,0.5378894473838918,0.23391088086093664,-0.0124750321692228,0.0,0.0,0.0,4.822726271746306,-0.79,-0.79,Bullish,Neutral
2024-12-30,AMZN,0.3241509392393321,0.2465705465687178,-0.0126530861073158,0.0,0.0,0.0,4.822726271746306,0.56,-1.6,Neutral,Neutral
2024-12-31,AMZN,0.3523,0.2081253621240901,-0.0094939193595053,0.0,0.0,0.0,7.682562664012302,-1.6,-1.61,Neutral,Neutral
2025-01-01,AMZN,0.27416458333333327,0.2125707942732549,-0.0105860502682846,0.0,0.0,0.0,7.682562664012302,-1.61,0.76,Neutral,Neutral
2025-01-03,AMZN,0.3453666666666666,0.17926602933825855,0.0192485591296205,0.0,0.0,0.0,7.682562664012302,0.76,0.42,Neutral,Neutral
2025-01-06,AMZN,0.31245,0.16445403422742594,0.0221002380160894,0.0,0.0,0.0,7.682562664012302,0.42,-2.5,Neutral,Neutral
2025-01-07,AMZN,0.0671875,0.20050733494390188,-0.0183785387937415,0.0,0.0,0.84,7.025698297835164,-2.5,-0.46,Neutral,Neutral
2025-01-08,AMZN,0.08895,0.1841321140836098,-0.0235059196730587,0.0,0.0,0.0,6.368833931658026,-0.46,0.17,Neutral,Neutral
2025-01-13,AMZN,0.2594916666666666,0.16987836013954544,-0.0103390149376735,0.0,0.0,0.0,10.000412501546876,0.17,-1.22,Neutral,Neutral
2025-01-14,AMZN,0.3764511363636363,0.1752274273316473,0.005530047651821901,0.0,-0.08,2.08,10.405110940718188,-1.22,0.23,Neutral,Neutral
2025-01-15,AMZN,0.4817286255411255,0.18224788776453002,0.0254384463236053,0.0,0.0,0.0,10.820750055367169,0.23,-1.74,Bullish,Neutral
2025-01-16,AMZN,0.4982,0.18710622464131316,-0.0016432191116749,0.0,0.0,0.0,10.03323452797988,-1.74,0.73,Bullish,Neutral
