ticker,date,Stock_Category,Avg_Aggregated_Score,Avg_Daily_Percent_Difference,Avg_Next_Daily_Percent_Difference,Avg_AI_Score,Avg_Sentiment_Score,Avg_Health_Score,Rolling_7day_Avg,Rolling_Avg_Rank,Pct_Change_From_Previous,Pct_Change_Rank,Composite_Rank,Top_10_Next_Day_Avg,Top_10_Today_Day_Avg,Cumulative_Top_10_Score
AAPL,2024-12-17,Software,38.46360465461073,0.9719576588042529,-2.142177989310781,7.243859649122808,0.23879423579539957,107.90816007891398,38.46360465461073,15.0,,,,-4.292190196061458,0.2120008380014172,-4.292190196061458
MU,2024-12-17,Semiconductor,58.24651667426406,0.31405535856427,-4.327805722172433,18.90277777777778,0.2555143752824367,155.58125786973196,58.24651667426406,2.0,,,,-4.292190196061458,0.2120008380014172,-4.292190196061458
ZG,2024-12-17,Entertainment,36.30354930319351,-1.1470832734906542,1.878183831205476,30.833333333333336,0.3408557210816992,77.7364588551655,36.30354930319351,16.0,,,,-4.292190196061458,0.2120008380014172,-4.292190196061458
TDS,2024-12-17,Space / Communication,45.52728465113032,-2.344421350159958,-2.015412778149813,-6.57142857142857,0.09619482487473152,143.05708769994482,45.52728465113032,10.0,,,,-4.292190196061458,0.2120008380014172,-4.292190196061458
PLTR,2024-12-17,AI,12.977314576317132,-1.7953803436984324,-3.8714844428654853,-2.3809523809523805,0.27122174269236365,41.04167436721142,12.977314576317132,22.0,,,,-4.292190196061458,0.2120008380014172,-4.292190196061458
SMR,2024-12-17,Energy,17.662160232803682,-0.04604157089308617,-11.976041380769354,3.083333333333333,0.1727420847180628,49.73040528035965,17.662160232803682,20.0,,,,-4.292190196061458,0.2120008380014172,-4.292190196061458
HAL,2024-12-17,Energy,47.23878964480617,-2.4399005550747073,-3.824938930121243,-17.333333333333332,0.08275032545880354,158.96695194229304,47.23878964480617,9.0,,,,-4.292190196061458,0.2120008380014172,-4.292190196061458
META,2024-12-17,AI,38.51952495227252,-0.7689330815167037,-3.5919540088314945,-3.512463343108504,0.16576365770035648,118.90527454222571,38.51952495227252,14.0,,,,-4.292190196061458,0.2120008380014172,-4.292190196061458
ACHR,2024-12-17,Transportation,51.46302674554225,8.343263177840475,-1.5401577664759039,32.5,0.37987486249584057,121.50920537413093,51.46302674554225,8.0,,,,-4.292190196061458,0.2120008380014172,-4.292190196061458
NVDA,2024-12-17,Semiconductor,53.517922614070265,-1.2184707026048611,-1.1350530979882483,2.423156553591334,0.20748623577773256,157.92312505284167,53.517922614070265,5.0,,,,-4.292190196061458,0.2120008380014172,-4.292190196061458
GME,2024-12-17,Entertainment,16.008271226469255,6.182064068642781,-8.669228957066535,70.0,0.5376095847180627,-22.5127959053103,16.008271226469255,21.0,,,,-4.292190196061458,0.2120008380014172,-4.292190196061458
