Ticker,Intercept,Coefficient
CRM,-0.00470124049950694,7.48558723485528e-05
MU,0.006812850129963566,-0.0002544878632102296
MSFT,0.0016393209216497735,-8.420091443645889e-05
TDS,0.0031094953812798526,-4.1071668429499585e-06
HAL,-0.019814358940491616,0.0003701396971107685
TSLA,0.004098419380124289,-0.000424971918893049
PLTR,0.013721898057099797,9.033598209629687e-05
LMT,-0.0018366658598627753,-3.1262249122593214e-05
SMR,-0.021889470793952707,0.0009563318021109011
BWXT,-0.0049642611560096325,-2.6418894134556207e-05
NVDA,-0.02443246164542407,0.0004754216434478077
GLW,0.0024882796230259715,0.00022631364033919976
GME,-0.0046729601149718735,-0.0005754509826969548
SMCI,-0.025729743537233313,0.0007863010675479299
ACHR,0.009479341654956563,-4.0511648129072166e-05
AMD,-0.015172521862637942,0.00023905795602512063
AAPL,0.008196274891336883,-0.00022541558209606275
GOOGL,-0.0062882309540984,8.314856153431591e-05
AVGO,0.04766752574094253,-0.0010178316483321708
NOW,-0.015502787996489213,0.0003210543917291719
CHTR,0.0005194134221869415,0.00010221415211549859
NFLX,-0.011663710271907263,0.0003770519877775604
GSAT,-0.06298022599391814,0.0008425427474224807
^GSPC,-0.0008738396447154151,5.8714711132623e-05
META,-0.010238941659544334,0.000361620839345659
^IXIC,-0.00020516809390104383,0.00013079238263744733
PTON,-0.01925905380623523,0.0005759367655757397
AMZN,0.0038323869683599154,-3.264792048947055e-05
ZG,-0.010337759200317372,0.0003387935576583548
QUBT,0.005601651981240442,0.0027322662150779608
PSIX,-0.05557741306708369,0.0015616028387848394
RGTI,0.022721633537260838,0.0008268570782764031
OKLO,0.04321038740545453,-0.0009070704417642469
ASTS,0.016665328103976054,-0.0003459641108886452
ARBK,-0.032229097958693706,-0.0025037191749771727
LX,0.012550419464030451,-0.0013545479994994984
QFIN,0.021820526620163785,-0.0002719272298496395
RTX,0.0068667747723152655,-0.00010285036858410624
TWLO,-0.0029797114248121537,0.0006361378754411955
